Place,Name,Birdie,Par,Bogey,Fairway,Parked,Circle1InReg,Circle2InReg,Scramble,Circle1XPutting,Circle2Putting,ThrowInRate,OBRate,Points
59,Logan Harpool,0.3,0.51,0.15,0.75,0.08,0.3,0.56,0.3,0.77,0.28,0.003,0.12,96.75
60,John Willis,0.3,0.5,0.15,0.68,0.08,0.31,0.54,0.42,0.86,0.2,0.008,0.134,92.13
61,Zackeriath Johnson,0.3,0.53,0.14,0.7,0.09,0.36,0.58,0.46,0.73,0.17,0.007,0.096,91.26
62,James Proctor,0.34,0.48,0.16,0.68,0.09,0.35,0.52,0.42,0.87,0.22,0.008,0.142,87
63,Eagle McMahon,0.48,0.41,0.1,0.71,0.11,0.43,0.7,0.63,0.89,0.33,0,0.097,85.5
64,Knut Valen Håland,0.29,0.52,0.15,0.66,0.07,0.32,0.55,0.49,0.76,0.21,0.005,0.113,81.16
65,Noah Fiveash,0.28,0.5,0.18,0.72,0.08,0.36,0.57,0.42,0.72,0.15,0.003,0.114,75
66,Paul Oman,0.31,0.54,0.11,0.68,0.11,0.34,0.52,0.64,0.8,0.28,0.004,0.079,74.05
67,Ty Love,0.36,0.44,0.12,0.71,0.13,0.36,0.58,0.29,0.75,0.26,0.01,0.115,72.25
68,Evan Smith,0.43,0.46,0.06,0.73,0.11,0.39,0.63,0.67,0.87,0.35,0.006,0.044,72
69,Gavin Rathbun,0.36,0.46,0.13,0.68,0.13,0.36,0.61,0.47,0.77,0.25,0.005,0.121,70.17
70,Max Regitnig,0.29,0.49,0.19,0.67,0.07,0.32,0.51,0.36,0.77,0.17,0.004,0.117,68.1
71,Kevin Kiefer,0.3,0.52,0.11,0.69,0.09,0.3,0.56,0.45,0.79,0.23,0.004,0.135,67.38
72,Noah Meintsma,0.28,0.49,0.19,0.64,0.08,0.28,0.49,0.41,0.78,0.27,0.006,0.13,65.1
73,Evan Scott,0.3,0.53,0.13,0.73,0.07,0.31,0.53,0.47,0.76,0.25,0.008,0.073,63.88
74,Clay Edwards,0.29,0.52,0.16,0.68,0.08,0.32,0.53,0.4,0.77,0.21,0.002,0.094,61.51
75,Luke Taylor,0.41,0.44,0.13,0.81,0.15,0.43,0.64,0.58,0.81,0.23,0.006,0.074,59.75
76,Nathan Queen,0.3,0.55,0.12,0.68,0.06,0.29,0.51,0.48,0.85,0.23,0.008,0.105,54.8
77,Charles Moore,0.27,0.53,0.15,0.68,0.1,0.32,0.53,0.44,0.78,0.13,0,0.139,53.88
78,Blær Örn Ásgeirsson,0.33,0.45,0.18,0.64,0.1,0.31,0.52,0.36,0.81,0.25,0.007,0.128,48.06
79,Bartosz Kowalewski,0.28,0.52,0.14,0.66,0.08,0.32,0.5,0.45,0.74,0.16,0.004,0.132,44
80,Matthew Thompson,0.39,0.48,0.09,0.83,0.08,0.42,0.63,0.48,0.76,0.28,0.009,0.083,43
82,Austin Turner,0.31,0.5,0.15,0.71,0.07,0.33,0.58,0.46,0.71,0.24,0.012,0.099,41.51
83,Terry Rothlisberger,0.34,0.5,0.13,0.71,0.1,0.39,0.61,0.39,0.74,0.12,0.009,0.056,41.17
84,Justin Rosak,0.31,0.47,0.17,0.68,0.13,0.33,0.52,0.47,0.74,0.24,0.017,0.126,40.25
85,Harper Thompson,0.33,0.45,0.16,0.78,0.12,0.38,0.58,0.39,0.72,0.24,0.005,0.081,37.75
86,Dustin Keegan,0.29,0.52,0.16,0.69,0.09,0.31,0.53,0.37,0.73,0.22,0.008,0.104,35.78
87,Elijah Bickel,0.25,0.51,0.17,0.68,0.07,0.3,0.52,0.35,0.69,0.19,0.005,0.135,35
89,Nate Perkins,0.27,0.54,0.16,0.66,0.09,0.29,0.47,0.46,0.73,0.22,0.004,0.075,32.7
90,Andrew Fish,0.32,0.54,0.11,0.65,0.06,0.31,0.53,0.64,0.87,0.24,0.004,0.069,31.5
91,Jonathan Nicholson,0.3,0.52,0.13,0.67,0.09,0.32,0.51,0.48,0.81,0.22,0.005,0.114,30.5
92,Cameron Colglazier,0.32,0.53,0.13,0.7,0.11,0.31,0.57,0.59,0.7,0.29,0.009,0.046,28.81
94,Isaac Marrs,0.32,0.5,0.13,0.71,0.1,0.37,0.57,0.16,0.68,0.19,0.016,0.068,27.38
95,Alan Wagner,0.22,0.58,0.18,0.65,0.04,0.19,0.39,0.54,0.87,0.25,0.003,0.089,26.35
96,Mikael Häme,0.3,0.56,0.12,0.71,0.11,0.4,0.58,0.48,0.69,0.14,0,0.052,26
98,Kade Filimoehala,0.32,0.43,0.16,0.72,0.09,0.36,0.61,0.39,0.64,0.23,0.003,0.149,25.5
101,Jordan Castro,0.26,0.54,0.16,0.74,0.08,0.33,0.56,0.36,0.75,0.11,0.003,0.153,25
101,Jake Lauber,0.28,0.51,0.18,0.76,0.08,0.28,0.56,0.36,0.82,0.21,0.006,0.15,25
103,Øyvind Jarnes,0.37,0.45,0.14,0.72,0.08,0.4,0.63,0.24,0.73,0.21,0,0.125,23.75
104,Tony Moe Reiss,0.27,0.58,0.15,0.75,0.06,0.3,0.54,0.54,0.75,0.35,0,0.056,23.25
105,Chris Nelson,0.33,0.52,0.13,0.73,0.08,0.32,0.58,0.46,0.85,0.26,0.006,0.117,23.13
105,Scott Stokely,0.22,0.55,0.17,0.65,0.07,0.23,0.49,0.41,0.76,0.15,0.005,0.159,23.13
108,Zach Melton,0.29,0.53,0.15,0.67,0.1,0.31,0.52,0.48,0.73,0.24,0.01,0.107,22.67
109,Ian Burchett,0.29,0.5,0.16,0.68,0.09,0.35,0.57,0.49,0.68,0.19,0.006,0.106,21.88
110,Paul Ulibarri,0.29,0.49,0.18,0.66,0.09,0.33,0.54,0.46,0.76,0.19,0.012,0.157,21.5
110,Vincent Polidori,0.31,0.53,0.12,0.66,0.11,0.33,0.48,0.5,0.8,0.12,0.019,0.08,21.5
113,Tuomas Hyytiäinen,0.25,0.51,0.19,0.64,0.07,0.29,0.5,0.37,0.73,0.16,0,0.143,20.51
117,Josh Anthon,0.32,0.52,0.14,0.62,0.07,0.23,0.5,0.64,0.87,0.38,0.028,0.072,18.5
117,Levi Hancock,0.27,0.52,0.18,0.66,0.08,0.31,0.53,0.38,0.74,0.12,0.01,0.126,18.5
119,Randon Latta,0.29,0.48,0.16,0.64,0.09,0.33,0.55,0.45,0.71,0.2,0.009,0.126,17.88
120,Silas Schultz,0.29,0.46,0.17,0.7,0.12,0.39,0.62,0.4,0.54,0.15,0.008,0.112,16.25
121,Andrew Miranda,0.3,0.52,0.13,0.66,0.06,0.36,0.55,0.42,0.73,0.15,0.009,0.088,16.05
122,Eli Swansen,0.27,0.53,0.14,0.67,0.05,0.22,0.5,0.41,0.85,0.29,0.009,0.127,15.63
123,Peter Lunde,0.29,0.48,0.18,0.69,0.12,0.37,0.58,0.3,0.6,0.18,0,0.118,15.09
124,Fredy Meza,0.25,0.52,0.17,0.68,0.09,0.3,0.52,0.35,0.69,0.19,0.014,0.153,14.5
124,Jake Monn,0.3,0.52,0.17,0.7,0.06,0.29,0.54,0.38,0.85,0.22,0,0.068,14.5
126,Lance Brown,0.22,0.49,0.21,0.59,0.04,0.2,0.4,0.39,0.81,0.21,0.003,0.162,14.13
127,Trevon Crowe,0.22,0.56,0.16,0.69,0.04,0.22,0.45,0.35,0.77,0.22,0.005,0.125,13.55
129,Michael Johansen,0.23,0.63,0.12,0.71,0.08,0.25,0.5,0.64,0.72,0.2,0.013,0.026,12.92
130,Jacob Courtis,0.33,0.48,0.14,0.74,0.05,0.36,0.68,0.31,0.8,0.18,0,0.195,12.88
131,Sullivan Tipton,0.21,0.59,0.15,0.66,0.09,0.29,0.48,0.48,0.74,0.12,0.005,0.079,12.5
133,Parker Welck,0.32,0.52,0.12,0.69,0.06,0.35,0.54,0.45,0.81,0.27,0.019,0.191,10.75
134,Thunder Schultz,0.21,0.66,0.12,0.57,0.09,0.22,0.47,0.64,0.8,0.12,0,0.028,10.5
135,Hjalte Jensen,0.35,0.39,0.18,0.65,0.09,0.33,0.58,0.28,0.75,0.39,0,0.254,9.75
136,Cody Kirkland,0.28,0.53,0.13,0.68,0.09,0.35,0.59,0.33,0.72,0.23,0.005,0.153,9.5
137,Randy Dueck,0.31,0.49,0.16,0.69,0.11,0.35,0.56,0.38,0.69,0.18,0,0.037,9.41
138,Kristo Raik,0.2,0.51,0.22,0.61,0.06,0.24,0.42,0.25,0.6,0.18,0.007,0.146,9.23
139,Thomas Tomaselli,0.21,0.62,0.16,0.66,0.01,0.15,0.42,0.2,0.87,0.28,0,0.043,9
139,Luukas Rokkanen,0.19,0.55,0.19,0.59,0.03,0.21,0.39,0.39,0.82,0.2,0,0.151,9
141,Tim Barham,0.24,0.58,0.14,0.69,0.06,0.28,0.5,0.49,0.74,0.18,0,0.105,8.27
142,Justin Gilbert,0.26,0.49,0.2,0.68,0.1,0.35,0.59,0.41,0.66,0.11,0.009,0.106,7.88
144,Philo Brathwaite,0.28,0.5,0.15,0.64,0.1,0.31,0.49,0.19,0.74,0.14,0,0.116,7.75
149,Casey Hanemayer,0.22,0.52,0.2,0.58,0.03,0.19,0.39,0.25,0.79,0.28,0.007,0.174,7.38
151,Caleb Bruce,0.25,0.48,0.2,0.68,0.09,0.29,0.44,0.32,0.72,0.21,0,0.198,7
152,Trevor Harbolt,0.21,0.57,0.17,0.66,0.05,0.21,0.45,0.26,0.76,0.22,0.008,0.14,6.88
153,Silver Lätt,0.26,0.48,0.19,0.59,0.09,0.32,0.48,0.42,0.72,0.11,0.011,0.152,6.75
153,E. Lucas Pierce,0.23,0.52,0.2,0.7,0.07,0.29,0.48,0.34,0.67,0.2,0,0.093,6.75
156,Sias Elmore,0.19,0.61,0.18,0.61,0.05,0.15,0.35,0.28,0.89,0.18,0,0.111,6.5
156,Robert Burridge,0.26,0.58,0.12,0.72,0.04,0.25,0.54,0.53,0.73,0.26,0,0.056,6.5
156,Mark Chapalonis,0.21,0.54,0.2,0.69,0.05,0.21,0.44,0.23,0.8,0.19,0.012,0.124,6.5
159,Sam Lee,0.23,0.51,0.18,0.71,0.07,0.26,0.44,0.26,0.81,0.15,0,0.202,6.25
162,D.W. Hass,0.24,0.5,0.19,0.66,0.04,0.27,0.53,0.31,0.71,0.18,0.005,0.143,5.75
163,Nicholas Carl,0.26,0.56,0.15,0.6,0.06,0.27,0.49,0.48,0.82,0.23,0.008,0.064,5.67
169,Jake Brown,0.27,0.58,0.08,0.58,0.06,0.3,0.54,0.54,0.8,0.15,0.019,0.046,5
170,David Wiggins,0.2,0.57,0.19,0.58,0.07,0.24,0.42,0.52,0.76,0.1,0,0.16,4.88
177,Tanner Girouard,0.19,0.46,0.28,0.64,0.06,0.21,0.42,0.26,0.76,0.14,0,0.231,4.5
177,Josh Coghill,0.3,0.49,0.15,0.7,0.06,0.4,0.59,0.5,0.68,0.14,0.008,0.098,4.5
177,Brady Och,0.21,0.54,0.22,0.64,0.04,0.2,0.4,0.32,0.84,0.26,0.003,0.122,4.5
177,Niko Rättyä,0.12,0.5,0.26,0.6,0.06,0.2,0.38,0.27,0.47,0.07,0.004,0.155,4.5
181,Nick Hanson,0.29,0.5,0.19,0.7,0.08,0.34,0.56,0.45,0.81,0.16,0,0.116,4.38
181,Rick Huber,0.15,0.56,0.19,0.63,0.03,0.16,0.36,0.34,0.68,0.13,0.019,0.148,4.38
183,Clint Calvin,0.29,0.48,0.19,0.68,0.06,0.32,0.57,0.34,0.81,0.16,0.008,0.147,4.25
183,Nate Metzler,0.24,0.43,0.23,0.62,0.06,0.23,0.42,0.21,0.86,0.18,0.007,0.234,4.25
183,Christian Camp,0.35,0.45,0.17,0.65,0.06,0.32,0.59,0.33,0.82,0.29,0,0.083,4.25
183,Jared Stoll,0.24,0.46,0.19,0.63,0.1,0.32,0.52,0.25,0.66,0.13,0.008,0.205,4.25
189,Benjamin Page,0.19,0.54,0.22,0.67,0.03,0.22,0.39,0.37,0.78,0.13,0,0.105,4
189,Scott Conway,0.22,0.55,0.17,0.62,0.06,0.22,0.44,0.38,0.75,0.25,0,0.052,4
189,Zachary Crist,0.29,0.46,0.2,0.64,0.06,0.23,0.44,0.3,0.89,0.26,0.009,0.176,4
189,David Konoplev,0.24,0.53,0.16,0.6,0.05,0.26,0.48,0.51,0.72,0.24,0.037,0.241,4
194,Christopher Keseloff,0.2,0.56,0.17,0.56,0.04,0.18,0.38,0.34,0.86,0.15,0.031,0.16,3.88
197,Chris Zagone,0.1,0.53,0.27,0.6,0.03,0.18,0.35,0.16,0.6,0.05,0.006,0.143,3.75
199,Alexander Krause,0.25,0.56,0.12,0.67,0.06,0.28,0.48,0.47,0.7,0.28,0.007,0.085,3.5
199,Matt Dollar,0.27,0.49,0.21,0.59,0.05,0.25,0.43,0.55,0.85,0.22,0,0.106,3.5
199,Calvin Pettigrew,0.28,0.49,0.17,0.71,0.08,0.34,0.61,0.44,0.71,0.21,0.004,0.126,3.5
199,Brandon Hauer,0.15,0.56,0.23,0.58,0.04,0.18,0.4,0.33,0.65,0.11,0,0.1,3.5
199,Olav Andre Brekke,0.17,0.53,0.21,0.66,0.07,0.29,0.53,0.24,0.54,0.02,0,0.127,3.5
205,Jake Spencer,0.21,0.54,0.17,0.67,0.05,0.27,0.53,0.36,0.67,0.2,0,0.142,3.25
208,Carter Ahrens,0.22,0.45,0.22,0.64,0.04,0.25,0.43,0.13,0.63,0.19,0,0.235,3
208,Brent Hannu,0.25,0.48,0.2,0.69,0.05,0.3,0.51,0.41,0.71,0.15,0.006,0.142,3
211,Andy Wacha,0.21,0.53,0.19,0.57,0.04,0.22,0.44,0.34,0.7,0.19,0.004,0.13,2.75
212,Micah Groth,0.27,0.6,0.13,0.67,0.07,0.24,0.52,0.76,0.84,0.28,0,0.035,2.63
213,Martin Hendel,0.29,0.53,0.14,0.71,0.08,0.34,0.61,0.54,0.7,0.18,0.008,0.05,2.5
213,Grady Shue,0.29,0.58,0.09,0.72,0.09,0.25,0.47,0.63,0.84,0.25,0.008,0.059,2.5
213,Patrick Brown,0.27,0.54,0.15,0.72,0.13,0.34,0.59,0.38,0.69,0.08,0,0.06,2.5
213,Jason Lynn,0.18,0.64,0.15,0.59,0.05,0.19,0.38,0.67,0.79,0.29,0.008,0.071,2.5
213,Tyler Wozniak,0.2,0.54,0.19,0.62,0.05,0.28,0.44,0.16,0.7,0.11,0,0.106,2.5
213,Tanner Dorner,0.18,0.56,0.19,0.56,0.09,0.28,0.47,0.29,0.51,0.19,0.005,0.141,2.5
221,Zach Arlinghaus,0.23,0.5,0.17,0.69,0.06,0.25,0.42,0.36,0.8,0.21,0.006,0.205,2.25
221,Andrew Nava,0.2,0.54,0.22,0.6,0.06,0.18,0.39,0.33,0.79,0.27,0,0.112,2.25
221,Tim Skellenger,0.17,0.67,0.14,0.71,0.07,0.26,0.51,0.24,0.62,0.11,0,0.09,2.25
221,Alex Lyon,0.25,0.46,0.22,0.64,0.05,0.25,0.51,0.27,0.7,0.17,0.019,0.177,2.25
221,Billy Engel,0.15,0.51,0.21,0.53,0.03,0.2,0.36,0.22,0.67,0.11,0.012,0.21,2.25
221,Neil Bishop,0.17,0.49,0.28,0.66,0.03,0.19,0.38,0.3,0.69,0.17,0.019,0.117,2.25
221,Jaden Chezem,0.15,0.54,0.25,0.63,0.02,0.14,0.33,0.17,0.74,0.2,0,0.148,2.25
221,Dallas Wrinkle,0.21,0.52,0.21,0.63,0.05,0.22,0.42,0.38,0.78,0.22,0,0.13,2.25
221,Ezra Hapner,0.23,0.52,0.19,0.61,0.06,0.26,0.46,0.11,0.71,0.14,0,0.167,2.25
221,Matt Odenwelder,0.12,0.49,0.28,0.58,0.04,0.13,0.3,0.11,0.58,0.17,0.006,0.193,2.25
232,Mike Sale,0.19,0.58,0.21,0.72,0.05,0.24,0.5,0.15,0.74,0.16,0,0.222,2
232,John Jones,0.17,0.49,0.26,0.63,0.04,0.24,0.44,0.25,0.7,0.11,0,0.269,2
232,Chris Ozolins,0.15,0.52,0.25,0.58,0.04,0.17,0.35,0.25,0.7,0.11,0,0.287,2
232,Justin Anderson,0.31,0.55,0.1,0.7,0.06,0.25,0.53,0.42,0.89,0.18,0.009,0.139,2
232,Cameron Messerschmidt,0.22,0.6,0.12,0.58,0.05,0.22,0.38,0.52,0.8,0.46,0.009,0.194,2
232,Ryan Chesla,0.26,0.56,0.16,0.61,0.05,0.22,0.45,0.44,0.87,0.29,0,0.139,2
232,Joseph Haggard,0.16,0.49,0.25,0.58,0.05,0.15,0.35,0.17,0.6,0.24,0,0.25,2
232,Jeffrey McCormick,0.14,0.6,0.16,0.6,0.04,0.22,0.42,0.23,0.6,0.03,0.007,0.139,2
248,Justin Workman,0.17,0.57,0.17,0.51,0.01,0.22,0.38,0.48,0.77,0.23,0,0.056,1.75
249,Maximus Meyer,0.27,0.51,0.17,0.58,0.07,0.29,0.47,0.36,0.75,0.12,0,0.105,1.63
251,Woody Hass,0.18,0.57,0.19,0.67,0.05,0.22,0.37,0.33,0.79,0.16,0,0.117,1.56
252,Sean Martin,0.23,0.52,0.2,0.54,0.07,0.25,0.39,0.23,0.73,0.31,0.008,0.103,1.5
252,Joe Bishop,0.06,0.49,0.3,0.54,0.01,0.11,0.31,0.19,0.57,0.08,0,0.173,1.5
264,Samuel Aldrich,0.18,0.59,0.19,0.61,0.04,0.21,0.4,0.25,0.68,0.21,0.009,0.102,1.25
264,D.J. Herrington,0.32,0.47,0.15,0.64,0.08,0.31,0.49,0.5,0.82,0.19,0,0.111,1.25
264,Kirby Snyder,0.22,0.6,0.14,0.72,0.07,0.25,0.52,0.19,0.8,0.16,0.009,0.083,1.25
264,Jonathan Fletcher,0.32,0.42,0.18,0.81,0.09,0.35,0.67,0.24,0.67,0.09,0.009,0.102,1.25
264,Loren J Lewis,0.2,0.47,0.26,0.61,0.04,0.2,0.37,0.14,0.66,0.21,0.009,0.148,1.25
264,Erik Olden,0.22,0.54,0.19,0.6,0.08,0.28,0.43,0.32,0.83,0.07,0,0.056,1.25
264,Kevin Sheehan Jr.,0.2,0.56,0.19,0.46,0.02,0.19,0.4,0.38,0.86,0.14,0,0.13,1.25
264,Chase Estep,0.22,0.53,0.19,0.61,0.05,0.19,0.44,0.3,0.83,0.28,0,0.13,1.25
264,Ethan Enos,0.13,0.56,0.23,0.53,0.06,0.2,0.37,0.4,0.66,0.14,0,0.13,1.25
264,Ian Blake,0.18,0.48,0.26,0.53,0.07,0.17,0.31,0.19,0.76,0.25,0.019,0.222,1.25
264,Ruben Alaniz,0.13,0.6,0.21,0.6,0.06,0.16,0.33,0.05,0.82,0.03,0,0.13,1.25
264,Justin Freeman,0.12,0.62,0.23,0.56,0.03,0.2,0.38,0.29,0.59,0.17,0,0.028,1.25
264,Alexander Eketrapp,0.22,0.47,0.22,0.62,0.05,0.22,0.41,0.24,0.71,0.23,0,0.083,1.25
264,Alex Carrell,0.18,0.53,0.19,0.58,0.05,0.19,0.47,0.19,0.79,0.21,0,0.222,1.25
264,Edward Florance,0.19,0.52,0.22,0.59,0.05,0.18,0.37,0.24,0.7,0.21,0.009,0.074,1.25
264,Evald Sandermoen Øwre,0.25,0.44,0.17,0.56,0.07,0.27,0.52,0.3,0.76,0.2,0.019,0.269,1.25
418,Jaden Rye,0.26,0.56,0.11,0.72,0.07,0.32,0.56,0.33,0.73,0.16,0,0.139,0.67
419,Robert Lockwood,0.19,0.56,0.23,0.43,0.04,0.22,0.39,0.45,0.78,0.15,0.009,0.074,0.5
419,James Burgess,0.21,0.53,0.19,0.72,0.05,0.24,0.51,0.29,0.83,0.03,0,0.12,0.5
431,Andy Martin,0.23,0.44,0.21,0.68,0.06,0.26,0.43,0.28,0.7,0.28,0,0.139,0.25
